id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
581767;1294757.0;2024-02-17;sábado;19:40:00;BA;30.0;901;MARAU;Sim;Pista esburacada;2;Queda de ocupante de veículo;Com Vítimas Fatais;Plena Noite;Crescente;Ignorado;Simples;Reta;Não;1037105.0;Motocicleta;HONDA/NXR160 BROS ESDD;2017.0;Condutor;Lesões Graves;51.0;Masculino;0.0;0.0;1.0;0.0;-14.04455949;-38.95535454;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
581767;1294758.0;2024-02-17;sábado;19:40:00;BA;30.0;901;MARAU;Sim;Pista esburacada;2;Queda de ocupante de veículo;Com Vítimas Fatais;Plena Noite;Crescente;Ignorado;Simples;Reta;Não;1037106.0;Motocicleta;YAMAHA/FACTOR YBR125 K;2012.0;Condutor;Óbito;54.0;Masculino;0.0;0.0;0.0;1.0;-14.04455949;-38.95535454;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
581767;1294757.0;2024-02-17;sábado;19:40:00;BA;30.0;901;MARAU;Sim;Pista esburacada;1;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Ignorado;Simples;Reta;Não;1037105.0;Motocicleta;HONDA/NXR160 BROS ESDD;2017.0;Condutor;Lesões Graves;51.0;Masculino;0.0;0.0;1.0;0.0;-14.04455949;-38.95535454;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
581767;1294758.0;2024-02-17;sábado;19:40:00;BA;30.0;901;MARAU;Sim;Pista esburacada;1;Colisão frontal;Com Vítimas Fatais;Plena Noite;Crescente;Ignorado;Simples;Reta;Não;1037106.0;Motocicleta;YAMAHA/FACTOR YBR125 K;2012.0;Condutor;Óbito;54.0;Masculino;0.0;0.0;0.0;1.0;-14.04455949;-38.95535454;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
585912;1304343.0;2024-03-08;sexta-feira;12:00:00;BA;30.0;728,2;BOA NOVA;Não;Acumulo de areia ou detritos sobre o pavimento;1;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1044756.0;Caminhonete;VW/SAVEIRO CD RB MPI;2023.0;Passageiro;Lesões Leves;41.0;Masculino;0.0;1.0;0.0;0.0;-14.3951425;-40.1743888;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
585912;1304344.0;2024-03-08;sexta-feira;12:00:00;BA;30.0;728,2;BOA NOVA;Não;Acumulo de areia ou detritos sobre o pavimento;1;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1044756.0;Caminhonete;VW/SAVEIRO CD RB MPI;2023.0;Passageiro;Lesões Leves;60.0;Masculino;0.0;1.0;0.0;0.0;-14.3951425;-40.1743888;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
585912;1304333.0;2024-03-08;sexta-feira;12:00:00;BA;30.0;728,2;BOA NOVA;Não;Acumulo de areia ou detritos sobre o pavimento;1;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1044756.0;Caminhonete;VW/SAVEIRO CD RB MPI;2023.0;Condutor;Lesões Leves;28.0;Masculino;0.0;1.0;0.0;0.0;-14.3951425;-40.1743888;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
585912;1304343.0;2024-03-08;sexta-feira;12:00:00;BA;30.0;728,2;BOA NOVA;Sim;Velocidade Incompatível;1;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1044756.0;Caminhonete;VW/SAVEIRO CD RB MPI;2023.0;Passageiro;Lesões Leves;41.0;Masculino;0.0;1.0;0.0;0.0;-14.3951425;-40.1743888;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
585912;1304344.0;2024-03-08;sexta-feira;12:00:00;BA;30.0;728,2;BOA NOVA;Sim;Velocidade Incompatível;1;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1044756.0;Caminhonete;VW/SAVEIRO CD RB MPI;2023.0;Passageiro;Lesões Leves;60.0;Masculino;0.0;1.0;0.0;0.0;-14.3951425;-40.1743888;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
585912;1304333.0;2024-03-08;sexta-feira;12:00:00;BA;30.0;728,2;BOA NOVA;Sim;Velocidade Incompatível;1;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1044756.0;Caminhonete;VW/SAVEIRO CD RB MPI;2023.0;Condutor;Lesões Leves;28.0;Masculino;0.0;1.0;0.0;0.0;-14.3951425;-40.1743888;SPRF-BA;DEL05-BA;UOP01-DEL05-BA
625224;1402628.0;2024-09-02;segunda-feira;00:35:00;BA;30.0;444;UBAITABA;Sim;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1121098.0;Caminhonete;FIAT/STRADA WORKING CD;2014.0;Passageiro;Lesões Leves;21.0;Masculino;0.0;1.0;0.0;0.0;-14.304423;-39.323254;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
625224;1402562.0;2024-09-02;segunda-feira;00:35:00;BA;30.0;444;UBAITABA;Sim;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1121098.0;Caminhonete;FIAT/STRADA WORKING CD;2014.0;Condutor;Ileso;19.0;Masculino;1.0;0.0;0.0;0.0;-14.304423;-39.323254;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
625224;1400292.0;2024-09-02;segunda-feira;00:35:00;BA;30.0;444;UBAITABA;Sim;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;1121098.0;Caminhonete;FIAT/STRADA WORKING CD;2014.0;Passageiro;Óbito;19.0;Masculino;0.0;0.0;0.0;1.0;-14.304423;-39.323254;SPRF-BA;DEL08-BA;UOP01-DEL08-BA
